sample_id	cluster_id
PD44890c_lo0004	00
PD44890c_lo0013	00
PD44890e_lo0009	00
PD44890g_lo0001	00
PD44890f_lo0006	00
PD44890f_lo0002	00
PD44890e_lo0006	00
PD44890e_lo0011	00
PD44890e_lo0013	00
PD44890c_lo0008	00
PD44890c_lo0007	00
PD44890h_lo0002	00
PD44890c_lo0005	01
PD44890g_lo0004	01
PD44890d_lo0003	01
PD44890d_lo0013	01
PD44890g_lo0007	02
PD44890d_lo0008	02
PD44890f_lo0004	02
PD44890e_lo0003	02
PD44890e_lo0005	02
PD44890e_lo0010	02
PD44890c_lo0009	03
PD44890g_lo0005	03
PD44890e_lo0001	03
PD44890c_lo0006	03
PD44890f_lo0001	04
PD44890f_lo0005	04
PD44890f_lo0003	04
PD44890h_lo0008	04
PD44890c_lo0010	05
PD44890c_lo0012	05
PD44890e_lo0002	05
PD44890h_lo0006	05
PD44890d_lo0007	06
PD44890e_lo0007	06
PD44890e_lo0008	06
PD44890e_lo0012	06
PD44890h_lo0003	06
PD44890f_lo0007	07
PD44890f_lo0008	07
PD44890f_lo0009	07
PD44890d_lo0005	08
PD44890d_lo0011	08
PD44890g_lo0003	09
PD44890e_lo0004	09
PD44890d_lo0001	09
PD44890d_lo0002	09
PD44890d_lo0006	09
