tissue,name,mle,cilow,cihigh
Foetal blood,Missense,1.0083754866952759,0.6412445132081865,1.585699528376024
Foetal blood,Nonsense,1.2542736025746358e-9,0,Inf
Foetal blood,Truncating,1.2542736025746358e-9,0,Inf
Foetal blood,Overall,0.8392357730135543,0.5373727247252595,1.310666973404263
Cord blood,Missense,1.1081010711546406,0.7993585079847796,1.5360917180823221
Cord blood,Nonsense,0.02714824412070235,0.0036410058372076557,0.2024240530749843
Cord blood,Truncating,0.02714824412070235,0.0036410058372076557,0.2024240530749843
Cord blood,Overall,0.9546946248427852,0.6913605830336653,1.3183306209103394
Adult blood,Missense,1.2621895663715124,1.1692218085627442,1.3625494237192157
Adult blood,Nonsense,0.05379794404328711,0.03411375406444076,0.08484023123979502
Adult blood,Truncating,0.05379794404328711,0.03411375406444076,0.08484023123979502
Adult blood,Overall,1.1524887683060376,1.068154222968984,1.2434818236075407
