Phenotype,n,mean_mtDNA_genomes,median_mtDNA_genomes
Ery,158,292.68451021501795,244.4184428010145
EryMy,390,544.661380377302,451.036647867165
Gran,10,896.9330268517409,796.03656931966
Mono,87,722.6685837651132,650.309263381002
MyGran,375,511.62616718535395,439.678075992156
MyMono,1524,706.9674561996387,635.8185387512906
NKMy,34,777.7546360196972,639.53045
