exp_ID,Donor_ID,Tissue,Cell_type,Percentage,coverage
8pcw,PD43947h_lo0300,L,HSPC,94.906539,21.28
8pcw,PD43947h_lo0301,L,HSPC,93.867209,21.44
8pcw,PD43947h_lo0302,L,HSPC,79.564754,19.94
8pcw,PD43947h_lo0307,L,HSPC,70.989148,11.95
8pcw,PD43947h_lo0308,L,HSPC,96.437579,29.11
8pcw,PD43947h_lo0309,L,HSPC,90.337682,20.5
8pcw,PD43947h_lo0310,L,HSPC,97.425001,20.24
8pcw,PD43947h_lo0311,L,HSPC,86.207475,18.08
8pcw,PD43947h_lo0312,L,HSPC,72.370716,16.43
8pcw,PD43947h_lo0313,L,HSPC,85.098076,21.08
8pcw,PD43947h_lo0314,L,HSPC,84.357022,15.4
8pcw,PD43947h_lo0315,L,HSPC,96.104945,22.28
