sample_id	cluster_id
PD43974ai	00
PD43974av	00
PD43974iv	00
PD43974jk	00
PD43974ei	00
PD43974i	00
PD43974ga	00
PD43974et	00
PD43974oo	00
PD43974kq	00
PD43974fi	00
PD43974ov	00
PD43974hc	00
PD43974bw3	00
PD43974ap2	00
PD43974ce	00
PD43974eu2	00
PD43974az	00
PD43974eo	00
PD43974gc2	00
PD43974lh	00
PD43974cp	00
PD43974e	00
PD43974bt	00
PD43974ey	00
PD43974fc	00
PD43974ge	00
PD43974in	00
PD43974ep	01
PD43974aq	01
PD43974bu	01
PD43974gl	01
PD43974or	01
PD43974eh	01
PD43974os	01
PD43974if	01
PD43974gi	01
PD43974fm	01
PD43974gw	01
PD43974ef	01
PD43974bx2	01
PD43974ag2	02
PD43974op	02
PD43974pv	02
PD43974lc	02
PD43974fe	02
PD43974cg	02
PD43974b3	02
PD43974fz	02
PD43974kh	02
PD43974gs	02
PD43974ie	02
PD43974ph	02
PD43974ho	03
PD43974ed	03
PD43974hf	03
PD43974kg	03
PD43974cn	03
PD43974lb	03
PD43974gt	03
PD43974lw	03
PD43974pd	03
PD43974lg	03
PD43974ex	03
PD43974gv	04
PD43974fj	04
PD43974ot	04
PD43974kb	04
PD43974gf	04
PD43974u2	04
PD43974bq	04
PD43974hr	04
PD43974kn	04
PD43974iy	04
PD43974on	04
PD43974fr	05
PD43974kz	05
PD43974ji	05
PD43974by2	05
PD43974ju	05
PD43974po	05
PD43974fg	05
PD43974gx2	05
PD43974jp	05
PD43974lk	05
PD43974af2	06
PD43974kv	06
PD43974jc	06
PD43974ck2	06
PD43974bg2	06
PD43974am2	06
PD43974w	06
PD43974ia	06
PD43974an2	06
PD43974pu	07
PD43974ht	07
PD43974pi	07
PD43974nl	07
PD43974fw	07
PD43974bl	07
PD43974ko	07
PD43974gg	08
PD43974ow	08
PD43974ff	08
PD43974gp	08
PD43974pq	08
PD43974s2	08
PD43974iz	09
PD43974qa	09
PD43974ac2	09
PD43974mp	09
PD43974pw	09
PD43974ib	09
PD43974mj	10
PD43974pm	10
PD43974ps	10
PD43974ae	10
PD43974fx	10
PD43974ih	11
PD43974jm	11
PD43974hu	11
PD43974jl	11
PD43974jn	11
PD43974bk2	12
PD43974gb	12
PD43974j	12
PD43974cc2	12
PD43974pj	12
PD43974nk	13
PD43974fa	13
PD43974ev	13
PD43974fp	13
PD43974ii	14
PD43974k	14
PD43974jh	14
PD43974f2	14
PD43974ns	15
PD43974kx	15
PD43974jt	15
PD43974ha2	16
PD43974jf	16
PD43974fu	16
PD43974gy	16
PD43974mf	17
PD43974jq	17
PD43974gr2	17
PD43974y2	17
PD43974iu	17
PD43974jz	17
PD43974jv	17
PD43974pl	17
PD43974ah2	17
PD43974ik	17
PD43974as2	17
PD43974ay	17
PD43974iw	17
PD43974lf	17
PD43974jr	17
PD43974eg2	17
PD43974es2	17
PD43974t	17
PD43974co2	17
PD43974ez	17
PD43974ng	17
PD43974bv	17
PD43974ct2	17
PD43974ou	17
PD43974cf2	17
PD43974kc	17
PD43974kt	17
PD43974hd	17
PD43974mm	17
PD43974la	17
PD43974en	17
PD43974fb	17
PD43974bd	17
PD43974bf	17
PD43974bp2	17
PD43974gh	17
PD43974em2	17
PD43974ke	17
PD43974l	17
PD43974ox	17
PD43974bn	17
PD43974id	17
PD43974kf	17
PD43974pt	17
PD43974hl	17
PD43974bm2	17
PD43974ks	17
PD43974ll	17
PD43974lt	17
PD43974pf	17
PD43974aj2	17
PD43974ij	17
PD43974au	17
PD43974er	17
PD43974je	17
PD43974pp	17
PD43974jw	17
PD43974om	17
PD43974ls	17
PD43974hp	17
PD43974gq	17
PD43974io	17
PD43974mq	17
PD43974fs2	17
PD43974n2	17
PD43974ml	17
PD43974ft2	17
PD43974hq	17
PD43974pn	17
PD43974it	17
PD43974hi	17
PD43974jb	17
PD43974py	17
PD43974hv	17
PD43974lr	17
PD43974hz	17
PD43974nj	17
PD43974nq	17
PD43974ej	17
PD43974ak	17
PD43974mk	17
PD43974pk	17
PD43974js	17
PD43974be2	17
PD43974z	17
PD43974bo	17
PD43974hb2	17
PD43974hj	17
PD43974o2	17
PD43974hw	17
PD43974oy	17
PD43974cl2	17
PD43974gd	17
PD43974jg	17
PD43974m	17
PD43974hn	17
PD43974al2	17
PD43974fd	17
PD43974q2	17
PD43974lu	17
PD43974ku	17
PD43974ax2	17
PD43974c	17
PD43974jo	17
PD43974ch2	17
PD43974cd2	17
PD43974ip	17
PD43974fv	17
PD43974bb	17
PD43974cr2	17
PD43974ar2	17
PD43974ld	17
PD43974fy2	17
PD43974is	17
PD43974lm	17
PD43974cj	17
PD43974gj	17
PD43974lv	17
PD43974hx	17
PD43974aw2	17
PD43974pg	17
PD43974km	17
PD43974go	17
PD43974pe	17
PD43974cs	17
PD43974ci	17
PD43974cq2	17
PD43974il	17
PD43974jy	17
PD43974h	17
PD43974eq	17
PD43974bi	17
PD43974lj	17
PD43974pb	17
PD43974fk	17
PD43974gz2	17
PD43974px	17
PD43974lz	17
PD43974hh	17
PD43974kj	17
PD43974no	17
PD43974v	17
PD43974mn	17
PD43974cb2	17
PD43974ao2	17
PD43974im	17
PD43974ir	17
PD43974kd	17
PD43974fn	17
PD43974md	17
PD43974iq	17
PD43974mz	17
PD43974ab2	17
PD43974fq2	17
PD43974mu	17
PD43974bc	17
PD43974p	17
PD43974bj	17
PD43974bs	17
PD43974bz	17
PD43974cm3	17
PD43974jd	17
PD43974hy	17
PD43974ix	17
PD43974fh	17
PD43974he	17
PD43974gu	17
PD43974jj	17
PD43974hm	17
PD43974el	17
PD43974hs	17
PD43974ew	17
PD43974fo	17
PD43974r2	17
PD43974at	17
PD43974ok	17
PD43974ig	17
PD43974hg2	17
PD43974ja	17
PD43974ad	17
PD43974ee	17
PD43974br	17
PD43974g2	17
PD43974mv	17
PD43974ic	17
