sample_id	cluster_id
PD45534pj2	00
PD45534cu	00
PD45534kd2	00
PD45534iz2	00
PD45534e	00
PD45534qb2	00
PD45534ts	00
PD45534nu2	00
PD45534hz2	00
PD45534pi2	00
PD45534ne	00
PD45534ws	00
PD45534dh	00
PD45534ph2	00
PD45534wv	00
PD45534jh2	00
PD45534vj	00
PD45534xi	00
PD45534ia	00
PD45534qm2	00
PD45534uq2	00
PD45534lr2	01
PD45534yk	01
PD45534hu2	01
PD45534qu2	01
PD45534ie2	01
PD45534lv	01
PD45534ok	01
PD45534kc2	01
PD45534dg	01
PD45534ke2	01
PD45534rg	01
PD45534wj	01
PD45534xv	01
PD45534ka2	01
PD45534yh	01
PD45534gv2	02
PD45534el	02
PD45534cz	02
PD45534tk	02
PD45534br	02
PD45534rp2	02
PD45534xw	02
PD45534eo	02
PD45534mg2	02
PD45534qc2	02
PD45534yc	02
PD45534ec	02
PD45534xo	02
PD45534qk2	02
PD45534bd	03
PD45534w	03
PD45534qh2	03
PD45534nm2	03
PD45534xy	03
PD45534ek	03
PD45534wb	03
PD45534ym	03
PD45534os	03
PD45534ow2	03
PD45534qg2	03
PD45534qv2	03
PD45534if2	03
PD45534t	04
PD45534i	04
PD45534ua2	04
PD45534jx2	04
PD45534df	04
PD45534jc2	04
PD45534an	04
PD45534rf2	04
PD45534oq2	04
PD45534db	04
PD45534jq2	04
PD45534ro2	04
PD45534qy2	05
PD45534m	05
PD45534jt2	05
PD45534ic2	05
PD45534wy	05
PD45534xc	05
PD45534tt	05
PD45534av	05
PD45534od	05
PD45534vq	05
PD45534ww	05
PD45534ap	06
PD45534mx2	06
PD45534jv2	06
PD45534px	06
PD45534jn2	06
PD45534ra2	06
PD45534vg	06
PD45534iu2	06
PD45534ag	06
PD45534km2	06
PD45534ov2	06
PD45534dl	06
PD45534io2	06
PD45534pq2	06
PD45534js2	06
PD45534ng2	06
PD45534im2	06
PD45534bu	06
PD45534as	06
PD45534jy2	06
PD45534wh	06
PD45534iq2	06
PD45534sl	06
PD45534eh	06
PD45534xm	06
PD45534dq	06
PD45534lk2	06
PD45534sn2	06
PD45534tu	06
PD45534hd2	06
PD45534it2	06
PD45534kb2	06
PD45534gr2	06
PD45534ix2	06
PD45534lz2	06
PD45534xs	06
PD45534oi2	06
PD45534bv	06
PD45534bk	06
PD45534yg	06
PD45534rb2	06
PD45534bl	06
PD45534wn	06
PD45534er	06
PD45534vv	06
PD45534z	06
PD45534wk	06
PD45534mk	06
PD45534vs	06
PD45534oa2	06
PD45534wz	06
PD45534gn2	06
PD45534vt	06
PD45534xr	06
PD45534hm2	06
PD45534lb2	06
PD45534gm2	06
PD45534eq	06
PD45534ct	06
PD45534de	06
PD45534du	06
PD45534ib2	06
PD45534en	06
PD45534vz	06
PD45534u	06
PD45534pz2	06
PD45534bq	06
PD45534gs2	06
PD45534xj	06
PD45534bb	06
PD45534nz2	06
PD45534qs2	06
PD45534dp	06
PD45534ei	06
PD45534li2	06
PD45534is2	06
PD45534k	06
PD45534l	06
PD45534gu2	06
PD45534re2	06
PD45534uo	06
PD45534hx2	06
PD45534yd	06
PD45534q	06
PD45534cw	06
PD45534td	06
PD45534dx	06
PD45534je2	06
PD45534ha2	06
PD45534hi2	06
PD45534va	06
PD45534hp	06
PD45534te	06
PD45534ep	06
PD45534vy	06
PD45534xu	06
PD45534aq	06
PD45534on	06
PD45534cy	06
PD45534x	06
PD45534wo	06
PD45534no2	06
PD45534ih2	06
PD45534xa	06
PD45534jp2	06
PD45534hg2	06
PD45534se	06
PD45534hk2	06
PD45534hy2	06
PD45534gl2	06
PD45534f	06
PD45534nv2	06
PD45534mo	06
PD45534nx2	06
PD45534pr2	06
PD45534qw2	06
PD45534am	06
PD45534qd2	06
PD45534pn2	06
PD45534hr2	06
PD45534kt2	06
PD45534gw2	06
PD45534ma2	06
PD45534pp2	06
PD45534kk2	06
PD45534ya	06
PD45534yb	06
PD45534hs2	06
PD45534pe2	06
PD45534dc	06
PD45534xx	06
PD45534vx	06
PD45534ef	06
PD45534do	06
PD45534eb	06
PD45534bc	06
PD45534pf2	06
PD45534yi	06
PD45534hv2	06
PD45534qo2	06
PD45534vi	06
PD45534xd	06
PD45534vk	06
PD45534mi2	06
PD45534sv2	06
PD45534nf2	06
PD45534qe	06
PD45534il2	06
PD45534iy2	06
PD45534jb2	06
PD45534jm2	06
PD45534tm	06
PD45534af	06
PD45534oc2	06
PD45534ui	06
PD45534iv2	06
PD45534ps	06
PD45534hq2	06
PD45534pb2	06
PD45534qi2	06
PD45534go2	06
PD45534jk2	06
PD45534op2	06
PD45534jl2	06
PD45534gy2	06
PD45534ji2	06
PD45534ly	06
PD45534iw2	06
PD45534si	06
PD45534ja2	06
PD45534pm2	06
PD45534xz	06
PD45534c	06
PD45534oh	06
PD45534vr	06
PD45534oo2	06
PD45534qn2	06
PD45534dv	06
PD45534sk	06
PD45534we	06
PD45534al	06
PD45534jd2	06
PD45534em	06
PD45534pl	06
PD45534hf2	06
PD45534hl2	06
PD45534ls2	06
PD45534uy	06
PD45534wi	06
PD45534gq2	06
PD45534jw2	06
PD45534he2	06
PD45534rc2	06
PD45534be	06
PD45534bo	06
PD45534dw	06
PD45534pc2	06
PD45534rh2	06
PD45534vl	06
PD45534xt	06
PD45534qx2	06
PD45534gk2	06
PD45534ol2	06
PD45534rn	06
PD45534jg2	06
PD45534p	06
PD45534ip2	06
PD45534jf2	06
PD45534qz	06
PD45534rw2	06
PD45534xe	06
PD45534oz	06
PD45534pt2	06
PD45534sx	06
PD45534b	06
PD45534aj	06
PD45534jo2	06
PD45534dn	06
PD45534ir2	06
PD45534v	06
PD45534wx	06
PD45534xg	06
PD45534g	06
PD45534wq	06
PD45534xp	06
PD45534j	06
PD45534la	06
PD45534wg	06
PD45534ye	06
PD45534pu2	06
PD45534ou	06
PD45534qf2	06
PD45534rr	06
PD45534hn2	06
PD45534dk	06
PD45534xf	06
PD45534ad	06
PD45534wl	06
PD45534rz	06
PD45534yp	06
PD45534es	06
PD45534xn	06
PD45534jj2	06
PD45534nw2	06
PD45534xk	06
PD45534oy2	06
PD45534wp	06
PD45534wr	06
PD45534ij2	06
PD45534kl2	06
PD45534qp2	06
PD45534tv	06
PD45534ay	06
PD45534mp2	06
PD45534lc2	06
PD45534id2	06
PD45534ah	06
PD45534sf2	06
PD45534vm	06
PD45534bf	06
PD45534rd2	06
PD45534of2	06
PD45534vu	06
PD45534vd	06
PD45534ho2	06
PD45534po2	06
PD45534og2	06
PD45534ds	06
PD45534wd	06
PD45534mh2	06
PD45534hb2	06
PD45534qa2	06
PD45534yo	06
PD45534ig2	06
PD45534jz2	06
PD45534bp	06
PD45534vc	06
PD45534lq2	06
PD45534yl	06
PD45534ve	06
PD45534bt	06
PD45534ik2	06
PD45534qj2	06
PD45534oe2	06
PD45534om2	06
PD45534rq	06
PD45534dj	06
PD45534dt	06
PD45534wm	06
PD45534wt	06
PD45534ee	06
PD45534jr2	06
PD45534tc2	06
PD45534vf	06
PD45534us	06
PD45534vo	06
PD45534yn	06
PD45534vp	06
PD45534ug	06
PD45534ju2	06
PD45534ed	06
PD45534mq2	06
PD45534su	06
PD45534o	06
PD45534vh	06
PD45534pv2	06
PD45534qr2	06
PD45534au	06
PD45534ob2	06
PD45534gp2	06
PD45534wa	06
PD45534cv	06
PD45534dm	06
PD45534xh	06
PD45534wu	06
PD45534vw	06
PD45534ql	06
PD45534dr	06
PD45534dy	06
PD45534hj2	06
PD45534eg	06
PD45534my2	06
PD45534hc2	06
PD45534dz	06
PD45534ny2	06
PD45534sm	06
PD45534oj2	06
PD45534or	06
PD45534ks	06
PD45534ku2	06
PD45534ii2	06
PD45534rx2	06
PD45534cx	06
PD45534hh2	06
PD45534y	06
PD45534gt2	06
PD45534bi	06
PD45534py2	06
PD45534uz	06
PD45534in2	06
PD45534qt	06
PD45534qq2	06
PD45534gx2	06
PD45534gz2	06
PD45534dd	06
PD45534pw2	06
PD45534sa	06
PD45534vb	06
PD45534ot2	06
PD45534yf	06
PD45534pa2	06
PD45534xb	06
PD45534ox	06
PD45534pd2	06
PD45534ht2	06
PD45534pg2	06
PD45534pk2	06
PD45534yj	06
PD45534vn	06
PD45534wf	06
PD45534di	06
PD45534wc	06
PD45534ry	06
PD45534ej	06
PD45534nn2	06
