sample_id	cluster_id
PD45534ap	00
PD45534mx2	00
PD45534jv2	00
PD45534px	00
PD45534jn2	00
PD45534ra2	00
PD45534vg	00
PD45534iu2	00
PD45534ag	00
PD45534km2	00
PD45534ov2	00
PD45534dl	00
PD45534io2	00
PD45534pq2	00
PD45534js2	00
PD45534ng2	00
PD45534im2	00
PD45534qy2	00
PD45534bu	00
PD45534as	00
PD45534jy2	00
PD45534wh	00
PD45534iq2	00
PD45534eh	00
PD45534xm	00
PD45534lk2	00
PD45534sn2	00
PD45534m	00
PD45534tu	00
PD45534hd2	00
PD45534it2	00
PD45534kb2	00
PD45534gr2	00
PD45534ix2	00
PD45534jt2	00
PD45534lz2	00
PD45534xs	00
PD45534oi2	00
PD45534bv	00
PD45534bk	00
PD45534yg	00
PD45534rb2	00
PD45534bl	00
PD45534wn	00
PD45534er	00
PD45534vv	00
PD45534z	00
PD45534wk	00
PD45534mk	00
PD45534vs	00
PD45534oa2	00
PD45534wz	00
PD45534gn2	00
PD45534vt	00
PD45534xr	00
PD45534hm2	00
PD45534lb2	00
PD45534gm2	00
PD45534eq	00
PD45534ct	00
PD45534ic2	00
PD45534de	00
PD45534du	00
PD45534ib2	00
PD45534en	00
PD45534vz	00
PD45534u	00
PD45534pz2	00
PD45534bq	00
PD45534gs2	00
PD45534xj	00
PD45534bb	00
PD45534nz2	00
PD45534qs2	00
PD45534dp	00
PD45534ei	00
PD45534li2	00
PD45534is2	00
PD45534k	00
PD45534l	00
PD45534gu2	00
PD45534re2	00
PD45534uo	00
PD45534hx2	00
PD45534yd	00
PD45534wy	00
PD45534q	00
PD45534cw	00
PD45534td	00
PD45534dx	00
PD45534je2	00
PD45534ha2	00
PD45534hi2	00
PD45534va	00
PD45534hp	00
PD45534te	00
PD45534ep	00
PD45534vy	00
PD45534xu	00
PD45534aq	00
PD45534on	00
PD45534cy	00
PD45534x	00
PD45534wo	00
PD45534no2	00
PD45534ih2	00
PD45534xa	00
PD45534jp2	00
PD45534xc	00
PD45534hg2	00
PD45534se	00
PD45534hk2	00
PD45534hy2	00
PD45534gl2	00
PD45534f	00
PD45534nv2	00
PD45534mo	00
PD45534tt	00
PD45534nx2	00
PD45534pr2	00
PD45534qw2	00
PD45534am	00
PD45534qd2	00
PD45534pn2	00
PD45534hr2	00
PD45534kt2	00
PD45534gw2	00
PD45534ma2	00
PD45534pp2	00
PD45534kk2	00
PD45534ya	00
PD45534yb	00
PD45534pi2	00
PD45534hs2	00
PD45534pe2	00
PD45534dc	00
PD45534xx	00
PD45534av	00
PD45534vx	00
PD45534ef	00
PD45534do	00
PD45534eb	00
PD45534bc	00
PD45534pf2	00
PD45534yi	00
PD45534hv2	00
PD45534qo2	00
PD45534vi	00
PD45534xd	00
PD45534vk	00
PD45534mi2	00
PD45534sv2	00
PD45534nf2	00
PD45534qe	00
PD45534il2	00
PD45534iy2	00
PD45534jb2	00
PD45534jm2	00
PD45534tm	00
PD45534af	00
PD45534oc2	00
PD45534ui	00
PD45534iv2	00
PD45534ps	00
PD45534hq2	00
PD45534pb2	00
PD45534qi2	00
PD45534go2	00
PD45534jk2	00
PD45534op2	00
PD45534jl2	00
PD45534gy2	00
PD45534ji2	00
PD45534ly	00
PD45534iw2	00
PD45534si	00
PD45534ja2	00
PD45534pm2	00
PD45534xz	00
PD45534c	00
PD45534oh	00
PD45534vr	00
PD45534oo2	00
PD45534qn2	00
PD45534dv	00
PD45534sk	00
PD45534we	00
PD45534al	00
PD45534jd2	00
PD45534em	00
PD45534pl	00
PD45534hf2	00
PD45534hl2	00
PD45534ls2	00
PD45534uy	00
PD45534wi	00
PD45534gq2	00
PD45534jw2	00
PD45534he2	00
PD45534rc2	00
PD45534be	00
PD45534bo	00
PD45534dw	00
PD45534pc2	00
PD45534rh2	00
PD45534vl	00
PD45534xt	00
PD45534qx2	00
PD45534gk2	00
PD45534ol2	00
PD45534rn	00
PD45534jg2	00
PD45534yh	00
PD45534p	00
PD45534ip2	00
PD45534jf2	00
PD45534qz	00
PD45534rw2	00
PD45534xe	00
PD45534oz	00
PD45534pt2	00
PD45534sx	00
PD45534b	00
PD45534aj	00
PD45534jo2	00
PD45534dn	00
PD45534ir2	00
PD45534v	00
PD45534wx	00
PD45534xg	00
PD45534g	00
PD45534wq	00
PD45534xp	00
PD45534j	00
PD45534la	00
PD45534wg	00
PD45534ye	00
PD45534pu2	00
PD45534ou	00
PD45534qf2	00
PD45534rr	00
PD45534hn2	00
PD45534ph2	00
PD45534wv	00
PD45534jh2	00
PD45534dk	00
PD45534xf	00
PD45534qk2	00
PD45534vj	00
PD45534ad	00
PD45534wl	00
PD45534rz	00
PD45534yp	00
PD45534es	00
PD45534xn	00
PD45534jj2	00
PD45534nw2	00
PD45534xk	00
PD45534oy2	00
PD45534wp	00
PD45534wr	00
PD45534od	00
PD45534ij2	00
PD45534kl2	00
PD45534qp2	00
PD45534tv	00
PD45534ay	00
PD45534mp2	00
PD45534lc2	00
PD45534id2	00
PD45534ah	00
PD45534sf2	00
PD45534vm	00
PD45534bf	00
PD45534rd2	00
PD45534of2	00
PD45534vu	00
PD45534vd	00
PD45534ho2	00
PD45534po2	00
PD45534og2	00
PD45534ds	00
PD45534wd	00
PD45534mh2	00
PD45534hb2	00
PD45534qa2	00
PD45534yo	00
PD45534ig2	00
PD45534jz2	00
PD45534bp	00
PD45534vc	00
PD45534lq2	00
PD45534yl	00
PD45534ve	00
PD45534bt	00
PD45534ik2	00
PD45534qj2	00
PD45534oe2	00
PD45534om2	00
PD45534rq	00
PD45534dj	00
PD45534dt	00
PD45534wm	00
PD45534wt	00
PD45534ee	00
PD45534jr2	00
PD45534tc2	00
PD45534vf	00
PD45534us	00
PD45534vo	00
PD45534yn	00
PD45534vp	00
PD45534ug	00
PD45534ju2	00
PD45534ed	00
PD45534mq2	00
PD45534vq	00
PD45534su	00
PD45534o	00
PD45534vh	00
PD45534pv2	00
PD45534qr2	00
PD45534au	00
PD45534ob2	00
PD45534gp2	00
PD45534wa	00
PD45534cv	00
PD45534dm	00
PD45534xh	00
PD45534wu	00
PD45534vw	00
PD45534ql	00
PD45534dr	00
PD45534dy	00
PD45534hj2	00
PD45534eg	00
PD45534my2	00
PD45534ww	00
PD45534hc2	00
PD45534dz	00
PD45534ny2	00
PD45534qm2	00
PD45534sm	00
PD45534oj2	00
PD45534or	00
PD45534ks	00
PD45534ku2	00
PD45534ii2	00
PD45534rx2	00
PD45534cx	00
PD45534hh2	00
PD45534y	00
PD45534gt2	00
PD45534bi	00
PD45534py2	00
PD45534uz	00
PD45534in2	00
PD45534qt	00
PD45534qq2	00
PD45534gx2	00
PD45534gz2	00
PD45534dd	00
PD45534pw2	00
PD45534sa	00
PD45534vb	00
PD45534ot2	00
PD45534yf	00
PD45534pa2	00
PD45534xb	00
PD45534ox	00
PD45534pd2	00
PD45534ht2	00
PD45534pg2	00
PD45534pk2	00
PD45534yj	00
PD45534vn	00
PD45534wf	00
PD45534di	00
PD45534wc	00
PD45534ry	00
PD45534ej	00
PD45534nn2	00
PD45534gv2	01
PD45534el	01
PD45534cz	01
PD45534tk	01
PD45534br	01
PD45534rp2	01
PD45534xw	01
PD45534eo	01
PD45534mg2	01
PD45534qc2	01
PD45534yc	01
PD45534ec	01
PD45534xo	01
PD45534bd	02
PD45534w	02
PD45534qh2	02
