sample_id	cluster_id
PD48402b_lo0001	00
PD48402b_lo0353	00
PD48402b_lo0003	00
PD48402b_lo0271	00
PD48402b_lo0400	00
PD48402b_lo0408	00
PD48402b_lo0149	00
PD48402b_lo0023	00
PD48402b_lo0206	00
PD48402b_lo0421	00
PD48402b_lo0246	00
PD48402b_lo0275	00
PD48402b_lo0056	00
PD48402b_lo0416	00
PD48402b_lo0046	00
PD48402b_lo0404	00
PD48402b_lo0245	00
PD48402b_lo0354	00
PD48402b_lo0324	00
PD48402b_lo0030	00
PD48402b_lo0106	00
PD48402b_lo0202	00
PD48402b_lo0230	00
PD48402b_lo0009	00
PD48402b_lo0390	00
PD48402b_lo0384	00
PD48402b_lo0317	00
PD48402b_lo0424	00
PD48402b_lo0178	00
PD48402b_lo0220	00
PD48402b_lo0027	00
PD48402b_lo0298	00
PD48402b_lo0437	00
PD48402b_lo0261	00
PD48402b_lo0402	00
PD48402b_lo0433	00
PD48402b_lo0208	00
PD48402b_lo0365	00
PD48402b_lo0077	00
PD48402b_lo0268	00
PD48402b_lo0231	00
PD48402b_lo0025	00
PD48402b_lo0219	00
PD48402b_lo0287	00
PD48402b_lo0229	00
PD48402b_lo0207	00
PD48402b_lo0394	00
PD48402b_lo0318	00
PD48402b_lo0084	00
PD48402b_lo0140	00
PD48402b_lo0191	00
PD48402b_lo0244	00
PD48402b_lo0382	00
PD48402b_lo0263	00
PD48402b_lo0193	00
PD48402b_lo0214	00
PD48402b_lo0356	00
PD48402b_lo0197	00
PD48402b_lo0418	00
PD48402b_lo0411	00
PD48402b_lo0254	00
PD48402b_lo0377	00
PD48402b_lo0301	00
PD48402b_lo0434	00
PD48402b_lo0272	00
PD48402b_lo0334	00
PD48402b_lo0409	00
PD48402b_lo0032	00
PD48402b_lo0089	00
PD48402b_lo0044	00
PD48402b_lo0050	00
PD48402b_lo0064	00
PD48402b_lo0305	00
PD48402b_lo0080	00
PD48402b_lo0127	00
PD48402b_lo0425	00
PD48402b_lo0166	00
PD48402b_lo0288	00
PD48402b_lo0316	00
PD48402b_lo0079	00
PD48402b_lo0379	00
PD48402b_lo0262	00
PD48402b_lo0352	00
PD48402b_lo0040	00
PD48402b_lo0069	00
PD48402b_lo0160	00
PD48402b_lo0042	00
PD48402b_lo0388	00
PD48402b_lo0427	00
PD48402b_lo0401	00
PD48402b_lo0192	00
PD48402b_lo0010	00
PD48402b_lo0257	00
PD48402b_lo0419	00
PD48402b_lo0307	00
PD48402b_lo0172	00
PD48402b_lo0203	00
PD48402b_lo0029	00
PD48402b_lo0155	00
PD48402b_lo0090	00
PD48402b_lo0413	00
PD48402b_lo0020	00
PD48402b_lo0396	00
PD48402b_lo0068	00
PD48402b_lo0168	00
PD48402b_lo0218	00
