sample_id	cluster_id
PD43974mf	00
PD43974jq	00
PD43974gr2	00
PD43974y2	00
PD43974iu	00
PD43974jz	00
PD43974jv	00
PD43974pl	00
PD43974ah2	00
PD43974ik	00
PD43974as2	00
PD43974ay	00
PD43974mj	00
PD43974iw	00
PD43974lf	00
PD43974jr	00
PD43974eg2	00
PD43974es2	00
PD43974t	00
PD43974co2	00
PD43974pm	00
PD43974gv	00
PD43974ez	00
PD43974ng	00
PD43974bv	00
PD43974ct2	00
PD43974ou	00
PD43974cf2	00
PD43974kc	00
PD43974kt	00
PD43974hd	00
PD43974mm	00
PD43974la	00
PD43974en	00
PD43974fb	00
PD43974ho	00
PD43974bf	00
PD43974bp2	00
PD43974ot	00
PD43974ih	00
PD43974gh	00
PD43974kb	00
PD43974gf	00
PD43974em2	00
PD43974ke	00
PD43974l	00
PD43974ox	00
PD43974bn	00
PD43974id	00
PD43974kf	00
PD43974pt	00
PD43974hl	00
PD43974bm2	00
PD43974ps	00
PD43974jm	00
PD43974ks	00
PD43974pu	00
PD43974ll	00
PD43974lt	00
PD43974pf	00
PD43974ed	00
PD43974aj2	00
PD43974ij	00
PD43974hu	00
PD43974jl	00
PD43974au	00
PD43974er	00
PD43974je	00
PD43974pp	00
PD43974jw	00
PD43974om	00
PD43974ls	00
PD43974hf	00
PD43974u2	00
PD43974hp	00
PD43974gq	00
PD43974io	00
PD43974mq	00
PD43974fs2	00
PD43974n2	00
PD43974ml	00
PD43974ft2	00
PD43974hq	00
PD43974pn	00
PD43974ht	00
PD43974it	00
PD43974hi	00
PD43974jb	00
PD43974py	00
PD43974pi	00
PD43974hv	00
PD43974lr	00
PD43974hz	00
PD43974nj	00
PD43974nq	00
PD43974ej	00
PD43974ak	00
PD43974mk	00
PD43974pk	00
PD43974js	00
PD43974be2	00
PD43974z	00
PD43974bo	00
PD43974hb2	00
PD43974nl	00
PD43974hj	00
PD43974fw	00
PD43974o2	00
PD43974hw	00
PD43974oy	00
PD43974bq	00
PD43974in	00
PD43974cl2	00
PD43974gd	00
PD43974m	00
PD43974hn	00
PD43974al2	00
PD43974fd	00
PD43974q2	00
PD43974lu	00
PD43974ku	00
PD43974ax2	00
PD43974c	00
PD43974jo	00
PD43974ch2	00
PD43974cd2	00
PD43974ha2	00
PD43974ip	00
PD43974fv	00
PD43974bb	00
PD43974cr2	00
PD43974bl	00
PD43974ar2	00
PD43974ld	00
PD43974fy2	00
PD43974is	00
PD43974lm	00
PD43974cj	00
PD43974gj	00
PD43974lv	00
PD43974hx	00
PD43974hr	00
PD43974aw2	00
PD43974pg	00
PD43974km	00
PD43974go	00
PD43974ae	00
PD43974pe	00
PD43974cs	00
PD43974ci	00
PD43974cq2	00
PD43974il	00
PD43974jy	00
PD43974h	00
PD43974eq	00
PD43974bi	00
PD43974lj	00
PD43974pb	00
PD43974fk	00
PD43974gz2	00
PD43974px	00
PD43974lz	00
PD43974hh	00
PD43974kj	00
PD43974no	00
PD43974v	00
PD43974mn	00
PD43974cb2	00
PD43974ao2	00
PD43974im	00
PD43974ir	00
PD43974kd	00
PD43974fn	00
PD43974kn	00
PD43974lw	00
PD43974fx	00
PD43974md	00
PD43974iq	00
PD43974fu	00
PD43974mz	00
PD43974ab2	00
PD43974mu	00
PD43974gy	00
PD43974bc	00
PD43974p	00
PD43974bj	00
PD43974iy	00
PD43974jn	00
PD43974bs	00
PD43974bz	00
PD43974cm3	00
PD43974jd	00
PD43974hy	00
PD43974ix	00
PD43974fh	00
